Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
1,5.0,4.0,1.0,240.0,112.8,106.8,6.0,58.2,1.83,18.3,25.4,75.1,51.8,13.6,54.7,58.4,97.3,53.7,4.0,0.0,4.0,192.0,110.4,117.4,-7.0,57.3,2.13,17.2,31.4,73.9,50.7,11.4,49.4,52.8,100.88,45.7
1,6.0,3.0,3.0,288.0,102.7,109.6,-6.9,59.3,1.64,17.0,16.8,71.0,45.9,13.5,52.1,55.4,98.67,48.6,5.0,4.0,1.0,240.0,126.0,103.9,22.0,57.3,2.65,18.6,23.3,73.8,49.0,9.6,60.0,62.4,102.1,58.0
0,6.0,1.0,5.0,293.0,103.9,106.9,-3.1,61.8,1.73,18.1,25.3,72.9,49.2,14.4,50.7,53.1,101.24,48.2,6.0,2.0,4.0,288.0,110.1,115.9,-5.8,62.4,2.18,19.4,20.7,70.0,44.7,12.1,53.7,57.0,100.58,47.2
0,6.0,2.0,4.0,288.0,105.6,109.4,-3.8,57.5,1.52,15.6,29.1,71.1,49.1,14.1,48.6,52.8,95.75,45.5,5.0,5.0,0.0,240.0,119.0,110.3,8.7,64.9,2.21,19.7,34.9,78.8,55.9,13.2,55.1,57.3,102.8,54.8
1,5.0,2.0,3.0,245.0,113.3,115.5,-2.2,63.0,1.94,18.3,27.1,71.0,50.0,13.1,54.1,57.9,97.37,49.6,6.0,3.0,3.0,293.0,110.7,109.2,1.4,66.8,2.52,19.4,25.7,78.0,51.4,10.8,51.2,54.5,101.32,50.3
1,5.0,1.0,4.0,240.0,113.7,122.2,-8.5,50.9,2.23,16.5,29.4,72.9,49.1,10.2,52.8,55.0,101.9,45.8,6.0,4.0,2.0,293.0,115.0,107.0,8.1,67.5,1.75,19.8,26.7,73.3,51.7,15.7,57.7,61.3,101.32,56.2
0,4.0,1.0,3.0,197.0,112.9,115.9,-2.9,59.5,1.83,18.8,27.5,72.3,50.3,14.4,54.5,56.7,102.21,47.4,5.0,2.0,3.0,245.0,111.7,122.3,-10.6,55.9,2.12,17.7,22.0,66.4,44.3,11.3,53.9,56.8,100.51,46.0
0,5.0,0.0,5.0,240.0,106.1,122.7,-16.5,48.3,1.4,14.8,30.4,80.0,52.9,14.3,50.7,53.5,97.3,41.3,6.0,5.0,1.0,288.0,113.7,103.7,10.0,66.2,2.02,21.4,22.9,71.2,49.4,14.9,58.6,60.0,103.42,55.5
1,5.0,2.0,3.0,240.0,103.1,109.2,-6.1,66.0,1.53,18.3,35.2,73.0,54.0,17.3,50.0,52.3,102.3,46.7,4.0,1.0,3.0,197.0,106.6,119.3,-12.7,68.2,1.81,19.4,21.7,69.7,45.8,14.6,53.1,56.8,106.96,44.3
1,5.0,3.0,2.0,240.0,110.7,107.6,3.1,56.4,1.55,16.3,30.6,79.5,54.2,14.7,52.1,55.1,104.8,49.1,5.0,3.0,2.0,240.0,113.0,110.9,2.1,57.9,1.86,17.5,22.1,77.5,50.7,12.6,54.2,58.1,109.7,52.5
